X,palabras.word,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,grupo_palabras
216,grey,0,0,0,0,0,0,0,0,0,0,1
217,brahmanes,0,0,0,0,0,0,0,0,0,0,1
218,quería,0,0,0,0,0,0,0,0,0,0,1
219,seguir,0,0,0,0,0,0,0,0,0,0,1
220,siddhartha,0,0,0,0,0,0,0,0,0,0,1
221,amado,0,0,0,0,0,0,0,0,0,0,1
222,magnífico,0,0,0,0,0,0,0,0,0,0,1
223,día,0,0,0,0,0,0,0,0,0,0,1
224,siddhartha,0,0,0,0,0,0,0,0,0,0,1
225,llegara,0,0,0,0,0,0,0,0,0,0,1
226,ser,0,0,0,0,0,0,0,0,0,0,1
227,dios,0,1,0,1,1,0,0,1,0,1,1
228,día,0,0,0,0,0,0,0,0,0,0,1
229,incorporase,0,0,0,0,0,0,0,0,0,0,1
230,número,0,0,0,0,0,0,0,0,0,0,1
231,gloriosos,0,0,0,0,0,0,0,0,0,0,1
232,govinda,0,0,0,0,0,0,0,0,0,0,1
233,dispuesto,0,1,0,0,0,0,0,1,0,1,1
234,seguirlo,0,0,0,0,0,0,0,0,0,0,1
235,calidad,0,0,0,0,0,0,0,0,0,0,1
236,amigo,0,1,0,0,2,0,0,2,0,2,1
237,acompañante,0,0,0,0,0,0,0,0,0,0,1
238,criado,0,0,0,0,0,0,0,1,1,0,1
239,escudero,0,0,0,0,0,0,0,0,0,0,1
240,sombra,0,0,0,0,0,0,0,0,0,0,1
241,querían,0,0,0,0,0,0,0,0,0,0,1
242,pues,0,0,0,0,0,0,0,0,0,0,1
243,siddhartha,0,0,0,0,0,0,0,0,0,0,1
244,alegría,0,0,0,0,0,0,0,0,0,0,1
245,placer,0,0,0,0,0,0,0,0,0,0,1
246,hallaba,0,0,0,0,0,0,0,0,0,0,1
247,cambio,0,0,0,1,0,0,0,0,0,0,1
248,placer,0,0,0,0,0,0,0,0,0,0,1
249,alegría,0,0,0,0,0,0,0,0,0,0,1
250,alguna,0,0,0,0,0,0,0,0,0,0,1
251,mismo,0,0,0,0,0,0,0,0,0,0,1
253,página,0,0,0,0,0,0,0,0,0,0,1
254,7,0,0,0,0,0,0,0,0,0,0,1
255,deambulara,0,0,0,0,0,0,0,0,0,0,1
256,senderos,0,0,0,0,0,0,0,0,0,0,1
257,floridos,0,0,0,0,0,0,0,0,0,0,1
258,huerto,0,0,0,0,0,0,0,0,0,0,1
259,higueras,0,0,0,0,0,0,0,0,0,0,1
260,bien,0,0,0,0,0,0,0,0,0,0,1
261,sentara,0,0,0,0,0,0,0,0,0,0,1
262,sombra,0,0,0,0,0,0,0,0,0,0,1
263,azulina,0,0,0,0,0,0,0,0,0,0,1
264,bosquecillo,0,0,0,0,0,0,0,0,0,0,1
265,contemplación,0,0,0,0,0,0,0,0,0,0,1
266,lavara,0,0,0,0,0,0,0,0,0,0,1
267,miembros,0,0,0,0,0,0,0,0,0,0,1
268,baño,0,0,0,0,0,0,0,0,0,0,1
269,expiatorio,0,0,0,0,0,0,0,0,0,0,1
270,cada,0,0,0,0,0,0,0,0,0,0,1
271,día,0,0,0,0,0,0,0,0,0,0,1
272,ofreciera,0,0,0,0,0,0,0,0,0,0,1
273,sacrificios,0,0,1,1,0,1,0,0,1,0,1
274,sombrío,0,0,0,0,0,0,0,0,0,0,1
275,bosque,0,0,0,0,0,0,0,0,0,0,1
276,mangos,0,0,0,0,0,0,0,0,0,0,1
277,cuyos,0,0,0,0,0,0,0,0,0,0,1
278,gestos,0,0,0,0,0,0,0,0,0,0,1
279,gracia,0,0,0,0,0,0,0,0,0,1,1
280,armonía,0,0,0,0,0,0,0,0,0,0,1
281,perfectas,0,0,0,0,0,0,0,0,0,0,1
282,querían,0,0,0,0,0,0,0,0,0,0,1
283,alegraban,0,0,0,0,0,0,0,0,0,0,1
284,ver,0,1,0,1,0,0,0,0,0,0,1
285,encerraba,0,0,0,0,0,0,0,0,0,0,1
286,dicha,0,0,0,0,0,0,0,0,0,0,1
287,alguna,0,0,0,0,0,0,0,0,0,0,1
288,corazón,0,0,0,0,0,0,0,0,0,0,1
289,aguas,0,0,0,0,0,0,0,0,0,0,1
290,río,0,0,0,0,0,0,0,0,0,0,1
291,aportaban,0,0,0,0,0,0,0,0,0,0,1
292,sueños,0,0,0,0,0,0,0,0,0,0,1
293,flujo,0,0,0,0,0,0,0,0,0,0,1
294,incesante,0,0,0,0,0,0,0,0,1,0,1
295,ideas,0,0,0,0,0,0,0,0,0,0,1
296,titilar,0,0,0,0,0,0,0,0,0,0,1
297,estrellas,0,0,0,0,0,0,0,0,0,0,1
298,nocturnas,0,0,0,0,0,0,0,0,0,0,1
